latitude,longitude,title,thumbnail_url,reference_url,artist_name,installation_date,art_type,location_description
34.089111,-118.390938,Untitled,images/3023555728.jpg,https://www.flickr.com/photos/weho/3023555728/in/album-72157608898733110/,Elena Irving,1987,Sculpture,1006 Carol Drive
34.089703,-118.383736,Archway,images/3022727603.jpg,https://www.flickr.com/photos/weho/3022727603/in/album-72157608898733110/,John Canavier,1987,Sculpture,8819 Harratt Street
34.091213,-118.384575,3-D Sculpture,images/3023555470.jpg,https://www.flickr.com/photos/weho/3023555470/in/album-72157608898733110/,Donald Jackson,1987,Sculpture,1115 N Larrabee Street
34.092358,-118.375,Untitled,images/3022728251.jpg,https://www.flickr.com/photos/weho/3022728251/in/album-72157608898733110/,Cynthia Barber,1987,Sculpture,1156 N. Hacienda Place
34.089352,-118.378716,Untitled,images/3022739149.jpg,https://www.flickr.com/photos/weho/3022739149/in/album-72157608898733110/,David Verano,1987,Sculpture,8562 West Knoll Drive
34.08762,-118.382774,Stairway Sculpture,images/3023567126.jpg,https://www.flickr.com/photos/weho/3023567126/in/album-72157608898733110/,Paul Betouliere,1987,Sculpture,884 N. Palm Ave
34.089905,-118.366096,Tree of Life,images/3023556390.jpg,https://www.flickr.com/photos/weho/3023556390/in/album-72157608898733110/,David Rosen,1988,Mural,1031 N. Crescent Heights Boulevard
34.08902,-118.389626,The Trojan,images/3023556076.jpg,https://www.flickr.com/photos/weho/3023556076/in/album-72157608898733110/,Giora Eshkol,1988,Sculpture,960 Doheny Drive
34.088291,-118.383011,Untitled,images/3023556756.jpg,https://www.flickr.com/photos/weho/3023556756/in/album-72157608898733110/,R. Nikkhessal,1988,Sculpture,939 N. Palm Avenue
34.087391,-118.383598,Untitled,images/3022728639.jpg,https://www.flickr.com/photos/weho/3022728639/in/album-72157608898733110/,Lee Kelly,1988,Sculpture,8815 Cynthia Street
34.087208,-118.388588,Mediterraneo,images/3022728905.jpg,https://www.flickr.com/photos/weho/3022728905/in/album-72157608898733110/,Alona Hamilton Cooke,1988,Fountain and tile work,9024 Cynthia Street
34.088493,-118.378586,Surfboard Tiki,images/3174969420.jpg,https://www.flickr.com/photos/weho/3174969420/in/album-72157608898733110/,Peter Shire,1988,Sculpture,8585 Santa Monica Blvd
34.089134,-118.384575,La Bodega,images/3022729917.jpg,https://www.flickr.com/photos/weho/3022729917/in/album-72157608898733110/,Alan S. Boivin,1989,Architectural,963 N Larrabee Street
34.088085,-118.389648,Abstract,images/3022729609.jpg,https://www.flickr.com/photos/weho/3022729609/in/album-72157608898733110/,Paul Betouliere,1989,Sculpture,930 N Doheny Drive
